year,P0-100,P90-100,P95-100,P99-100,P99.5-100,P99.9-100,P99.99-100,P0-90,P0-99,P90-95,P95-99,P99-99.5,P99.5-99.9,P99.9-99.99
1917,17167,69540,105206,304496,492443,1442304,5777094,11348,14265,33875,55383,116550,254977,960661
1918,16226,65077,95711,258989,403359,1089807,3982193,10798,13774,34443,54892,114618,231747,768430
1919,16094,64884,97103,264114,406800,1066982,3679925,10673,13589,32664,55351,121428,241754,776655
1920,14354,56000,81311,212863,319886,768959,2386872,9726,12349,30688,48423,105839,207618,589191
1921,12536,54134,77235,196045,293306,702288,2116657,7915,10683,31033,47533,98783,191061,545136
1922,14318,62601,91479,244234,373927,950074,3256179,8953,11996,33724,53290,114540,229891,693840
1923,15937,66077,94911,249296,379554,941311,3184180,10366,13580,37243,56315,119038,239114,692103
1924,15862,70440,101874,276369,425129,1076575,3687895,9798,13231,39005,58250,127610,262268,786428
1925,16469,76341,115315,333408,522420,1403806,5452654,9817,13268,37367,60791,144396,302073,953934
1926,16460,75237,113945,327693,511817,1392311,5537008,9929,13316,36529,60508,143570,291693,931789
1927,16735,78098,119455,351845,555485,1548609,6282522,9916,13350,36741,61357,148205,307204,1022619
1928,17616,86829,135871,421743,683485,2033101,8851432,9926,13534,37787,64403,160001,346081,1275509
1929,18165,84848,132543,406041,656357,1982473,9064822,10756,14247,37153,64169,155725,324827,1195545
1930,15680,68782,100551,270064,414088,1109255,4460307,9780,13111,37013,58173,126039,240297,736916
1931,14016,62433,87549,217232,324220,826039,3153539,8637,11964,37318,55128,110244,198765,567428
1932,11704,54270,76467,182059,272061,698644,2328382,6974,9983,32073,50068,92058,165415,517562
1933,11554,52686,76685,190173,288022,763560,2708457,6983,9749,28688,48313,92323,169138,547460
1934,12614,57753,85055,206837,310188,773148,2615262,7599,10653,30451,54609,103486,194448,568469
1935,13797,61388,89086,230082,348625,881942,3018705,8509,11612,33690,53837,111539,215296,644524
1936,15385,71686,106585,296755,457197,1163932,3903119,9130,12543,36786,59043,136313,280513,859578
1937,15752,69674,101660,270137,410298,1023011,3425098,9761,13183,37687,59540,129976,257120,756112
1938,14555,64151,91244,229313,342796,856396,3194111,9044,12386,37057,56727,115830,214396,596650
1939,15463,70384,99824,250119,372896,907924,3036049,9361,13093,40943,62251,127343,239139,671466
1940,16171,73245,104216,266473,398894,971120,3304805,9830,13643,42275,63651,134053,255837,711822
1941,18906,79273,113405,298439,448518,1097768,3738022,12198,16082,45141,67146,148361,286206,804406
1942,21860,78977,112813,293557,440128,1051836,3379125,15514,19116,45141,67627,146985,287201,793248
1943,25439,85702,122525,313135,465415,1084413,3141978,18743,22533,48879,74873,160855,310665,855795
1944,25142,81742,114471,283623,415216,944227,2927099,18853,22531,49014,72183,152029,282963,723908
1945,25083,86343,124382,313928,458412,1043230,3168911,18276,22165,48303,76996,169444,312208,807043
1946,25533,93704,136678,338998,490862,1121328,3760546,17958,22366,50729,86098,187135,333245,828082
1947,24252,83300,119699,289933,417796,950242,3161279,17691,21568,46901,77141,162071,284684,704571
1948,24624,86218,123393,301465,438327,998549,3214695,17780,21828,49043,78875,164603,298271,752310
1949,24148,83917,118352,283184,409367,925204,3000405,17507,21532,49482,77144,157001,280408,694626
1950,26392,93858,134775,338331,494579,1158718,3219235,18896,23241,52942,83886,182082,328544,929771
1951,27114,92777,131236,319593,462511,1054837,3473466,19818,24159,54317,84147,176676,314429,786100
1952,27811,92366,128317,300110,430320,953425,3027195,20639,25061,56415,85369,169901,299544,723006
1953,28904,93381,127254,286207,405946,883071,2794340,21740,26305,59508,87516,166468,286665,670708
1954,28864,97087,134493,310968,445247,1007623,3373477,21284,26014,59682,90374,176689,304653,744750
1955,31120,105613,146860,344106,495573,1156081,4097009,22843,27958,64366,97548,192638,330446,829312
1956,32590,109054,150743,347807,502157,1136201,3903042,24094,29406,67366,101477,193457,343646,828774
1957,32468,107109,146787,329911,469426,1033573,3418499,24175,29464,67431,101005,190396,328389,768581
1958,31651,106227,145132,323025,460100,1018682,3422976,23365,28708,67321,100659,185950,320455,751538
1959,33894,115251,158554,360882,523032,1169272,4047344,24854,30591,71949,107972,198733,361472,849486
1960,34031,113920,153646,341489,485234,1105689,3998405,25155,30926,74193,106685,197743,330120,784276
1961,34851,119383,163811,370842,533669,1272525,4817493,25459,31458,74954,112054,208015,348955,878640
1962,35652,120151,162615,354734,503098,1138824,4138272,26263,32429,77686,114585,206370,344166,805552
1963,36629,123750,167349,363230,512641,1152306,4198759,26949,33330,80151,118379,213819,352724,813812
1964,38589,132837,181380,404382,569985,1301416,5024978,28117,34895,84294,125629,238779,387127,887687
1965,40473,140768,193269,440826,625307,1479338,6027817,29329,36429,88268,131379,256344,411800,973951
1966,42072,141666,192860,428097,607432,1424268,5426819,31006,38173,90472,134051,248761,403223,979541
1967,43592,150152,206647,468075,669127,1602894,6174195,31752,39305,93657,141290,267023,435686,1094971
1968,45505,158572,219798,510241,740733,1830606,7348748,32942,40811,97347,147187,279750,468264,1217480
1969,45460,154244,209882,470583,676978,1679169,7083504,33373,41166,98606,144706,264188,426430,1078687
1970,44783,146114,194025,404179,559880,1242882,4461618,33524,41153,98204,141486,248479,389130,885245
1971,45096,150336,200746,423860,591995,1347350,5022398,33403,41270,99927,144967,255725,403157,939011
1972,47294,158842,212999,455808,641317,1478340,5572007,34900,43168,104685,152297,270299,432062,1023488
1973,48037,160122,213417,440142,605642,1325876,4522229,35584,44077,106827,156736,274641,425584,970725
1974,46122,153628,204025,420748,581774,1258325,4053481,34177,42338,103230,149845,259721,412636,947752
1975,43664,145980,191956,387412,529892,1119756,3696473,32295,40191,100004,143092,244932,382426,833455
1976,44957,150217,197581,398357,545676,1166513,3866009,33261,41387,102853,147387,251037,390467,866569
1977,45445,152620,201089,410148,565071,1230625,4197451,33537,41761,104151,148825,255225,398683,900978
1978,46312,155079,204104,414513,570677,1226315,3966013,34226,42592,106054,151502,258348,406768,921904
1979,46828,160210,214767,466302,665763,1610550,6428858,34230,42591,105654,151883,266841,429567,1075183
1980,45429,157334,210496,455242,649543,1548899,5798873,32995,41289,104171,149310,260941,424704,1076679
1981,44922,155178,206969,449989,649878,1602019,6135796,32672,40831,103386,146215,250099,411843,1098266
1982,44130,155922,210333,476423,703000,1842783,7651295,31709,39764,101511,143811,249845,418055,1197393
1983,44370,161427,220534,512707,765877,2050288,8360078,31364,39639,102320,147491,259538,444774,1349201
1984,45921,168695,232238,550567,830181,2287389,9889336,32280,40824,105151,152656,270953,465879,1442729
1985,47191,177254,246499,597863,908445,2509640,10552805,32740,41629,108010,158657,287282,508146,1615955
1986,50568,205454,298228,804900,1276552,3740998,16912444,33359,42949,112680,171559,333248,660441,2277504
1987,48179,184266,255726,610056,910439,2360327,9191680,33059,42504,112806,167144,309673,547967,1601287
1988,50612,205632,296482,784156,1223957,3441157,14488170,33388,43203,114782,174563,344355,669657,2213711
1989,50178,201136,286495,726901,1111838,3010386,12317182,33405,43342,115777,176393,341965,637201,1976297
1990,49250,196879,279799,705732,1078006,2868561,11492564,32847,42619,113959,173316,333457,630367,1910338
1991,47606,188259,263953,636044,950746,2438750,9316554,31977,41662,112564,170931,321342,578745,1674550
1992,48140,196519,279833,706250,1078239,2903549,11857207,31653,41492,113205,173228,334262,621911,1908698
1993,47713,194119,275140,679283,1028375,2734275,11059957,31445,41333,113098,174104,330191,601900,1809199
1994,48451,197593,279974,689551,1040168,2763640,11118247,31880,41975,115211,177580,338933,609300,1835351
1995,50071,210870,302670,762784,1158646,3107414,12332518,32205,42872,119069,187642,366921,671454,2082402
1996,52048,226328,330581,868533,1343579,3768309,15916422,32684,43801,122074,196093,393486,737397,2418519
1997,55059,245806,364943,991890,1559164,4506587,19413839,33865,45596,126669,208206,424616,822308,2850226
1998,58409,265126,398294,1114920,1773194,5254515,22914030,35441,47738,131959,219138,456645,902864,3292346
1999,61175,284274,430880,1226191,1962003,5886255,25779130,36386,49407,137668,232052,490379,980941,3675936
2000,62730,298637,459257,1350006,2189894,6823110,31822778,36518,49727,138018,236569,510118,1031590,4045369
2001,58381,261682,389450,1063706,1672506,4885926,21601059,35792,48226,133915,220885,454907,869151,3028689
2002,55374,242648,355156,933878,1443925,4064985,17398425,34566,46500,130139,210476,423831,788660,2583492
2003,55054,245140,360770,964989,1505291,4331110,19224911,33934,45863,129509,209715,424688,798836,2676244
2004,57870,268511,404511,1143104,1821976,5477386,25127111,34465,46908,132511,219862,464232,908123,3294083
2005,60410,291983,448951,1323935,2147075,6635382,30978002,34679,47647,135015,230206,500795,1024999,3930646
2006,61998,305775,472216,1414985,2308193,7184352,33851019,34912,48332,139335,236523,521777,1089153,4221389
2007,64287,319762,497168,1510932,2483270,7891202,38803498,35901,49674,142357,243727,538595,1131287,4456502
2008,57920,279338,423050,1213199,1953884,6023712,29157085,33318,46251,135626,225513,472514,936427,3453338
2009,53082,246840,362154,961785,1502420,4403114,20669954,31553,43903,131525,212247,421149,777247,2595688
2010,54190,260346,388565,1076379,1715551,5233683,25897464,31284,43865,132126,216612,437206,836018,2937707
2011,53781,258838,385988,1056640,1672274,4983369,23244250,30997,43651,131689,218325,441006,844500,2954383
2012,56271,283734,433937,1264065,2050392,6373782,30785699,30997,44071,133530,226405,477738,969544,3661347
